from,to,flow
1,1371,1066.6010000000006
2,2012,0.0
3,2402,1636.7440000000022
4,1875,921.7850000000001
5,1880,529.3169999999992
6,1894,776.2469999999993
7,1970,120.83400000000034
8,1977,69.55500000000015
9,3448,49.7980000000001
10,2012,2446.419000000003
11,2867,30.94800000000014
12,3627,0.0
13,3499,5520.9330000000045
14,3499,0.0
15,3441,1197.9950000000026
16,3576,621.3100000000005
17,3839,62.442000000000114
18,2452,48.2140000000001
19,2795,266.4510000000002
20,2166,56.15500000000013
21,3843,97.80600000000038
22,3309,182.72099999999983
23,3350,127.0800000000003
24,3728,263.78200000000015
25,3419,107.14669922660894
25,3718,90.7113007733913
26,4769,173.1159999999996
27,3885,92.4560000000001
28,3710,217.90399999999988
29,2791,223.3729999999996
30,3730,142.98800000000028
31,3882,101.09800000000025
32,2799,185.57400000000024
33,1069,106.86900000000026
34,2165,128.29600000000036
35,2982,116.9200000000002
36,2981,258.5959999999997
37,2978,145.49900000000036
38,3174,161.9740000000006
39,2852,245.0030000000007
40,2180,54.82800000000003
41,1891,239.62299999999982
42,3202,266.16999999999985
43,1968,161.71800000000025
44,2531,90.51700000000034
45,2816,192.6549999999998
46,1978,41.49000000000006
47,3292,43.99400000000006
48,3293,40.35400000000004
49,3409,68.23300000000013
50,2191,241.13300000000018
51,3235,164.48200000000006
52,3233,132.5590000000004
53,3234,151.8710000000005
54,1349,53.93800000000011
55,2756,158.5630000000003
56,2194,140.66100000000014
57,3171,16.69200000000006
58,2595,253.24099999999984
59,2186,82.68099999999998
60,2755,114.3290000000002
61,2185,90.74700000000024
62,2860,61.73500000000021
63,2555,31.47000000000005
64,3356,64.86500000000015
65,3232,102.36000000000024
66,3340,65.42400000000018
67,2753,121.31700000000035
68,3339,85.47200000000029
69,3360,122.42900000000023
70,3341,170.03300000000013
71,2533,211.28200000000004
72,2763,119.8730000000005
73,2590,163.47000000000017
74,2113,96.90900000000025
75,2111,88.12300000000035
76,2179,162.63800000000032
77,3330,113.62700000000042
78,3411,96.84800000000021
79,1339,83.19939188104173
79,2750,27.009608118958493
80,1345,111.24800000000022
81,3434,72.1640000000003
82,2771,81.26500000000033
83,2117,237.5410000000003
84,3401,136.09700000000004
85,3400,37.81300000000006
86,2754,94.50000000000016
